parent,distance,pcode,importance,biz_ext,recommend,type,photos,discount_num,gridcode,typecode,shopinfo,poiweight,citycode,adname,children,alias,tel,id,tag,event,entr_location,indoor_map,email,timestamp,website,address,adcode,pname,biz_type,cityname,postcode,match,business_area,indoor_data,childtype,exit_location,name,location,shopid,navi_poiid,groupbuy_num,longitude_gcj02,latitude_gcj02,longitude_wgs84,latitude_wgs84,typecode_single,大类,中类,小类
B00140H7SM,[],440000,[],"{'cost': [], 'rating': '4.0'}",0,事件活动;公众活动;文艺演出,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b74ca0b3da04a1599eac2f124e3cfef9'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/1537d054e2d14874b3bcb7e683adc343'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d60293f7d2e247cba0e7cc863ed71f48'}]",0,3413329621,220104,0,[],20,番禺区,[],[],[],B0FFF31XCF,[],[],"113.327061,22.995948",0,[],2022-05-30 03:48:04,[],汉溪大道东299号长隆欢乐世界内,440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",301,[],巨星剧场,"113.331951,22.999953",[],F49F012043_184872,0,113.331951,22.999953,113.32652169107088,23.002586001980625,220104,事件活动,公众活动,文艺演出
[],[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;文艺演出,[],0,3413329620,220104,0,[],20,番禺区,[],[],[],B0FFM1FQQ0,[],[],[],0,[],2022-06-01 08:40:24,[],长隆欢笑世界内长隆地铁大道附近,440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],瑞鼠贺新大欢送,"113.327379,22.998185",[],[],0,113.327379,22.998185,113.32195919492284,23.000827488451925,220104,事件活动,公众活动,文艺演出
[],[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;文艺演出,[],0,3413329620,220104,0,[],20,番禺区,[],[],[],B0FFM1FG5W,[],[],[],0,[],2021-11-21 10:19:49,[],长隆欢乐世界内长隆地铁大道附近,440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],欢乐泡泡大巡游,"113.327979,22.997485",[],[],0,113.327979,22.997485,113.3225580080717,23.00012664533371,220104,事件活动,公众活动,文艺演出
[],[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;文艺演出,[],0,3413329621,220104,0,[],20,番禺区,[],[],[],B0FFM1FHQ4,[],[],[],0,[],2022-05-31 00:51:01,[],[],440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],泡泡狂欢派对,"113.330969,22.999431",[],[],0,113.330969,22.999431,113.32554173664164,23.00206609827832,220104,事件活动,公众活动,文艺演出
[],[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;文艺演出,[],0,3413329621,220104,0,[],20,番禺区,[],[],[],B0FFM1FBY6,[],[],[],0,[],2021-11-21 04:52:52,[],[],440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],新春狂欢派对,"113.330969,22.999431",[],[],0,113.330969,22.999431,113.32554173664164,23.00206609827832,220104,事件活动,公众活动,文艺演出
B00140H7SM,[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;文艺演出,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7c8b0ee4381e497e9e77d5fe8a130585'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e512e85c47c94e2891ee949a7b5906ce'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/66457fe47e62469c8087cfea7180418b'}]",0,3413329620,220104,0,[],20,番禺区,[],长隆欢乐世界-妙想世界大巡游,[],B0FFKH5Q22,[],[],[],0,[],2022-05-29 10:47:01,[],长隆欢乐世界内长隆地铁大道附近,440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",301,[],妙想世界大巡游,"113.327979,22.997485",[],[],0,113.327979,22.997485,113.3225580080717,23.00012664533371,220104,事件活动,公众活动,文艺演出
B00140H7SM,[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;文艺演出,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b5ef60e1707d4854bf22f94ad855216b'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/626e84b370434c6b8489419938a34a42'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ea4a3fa57a454d2d8adb38f62eaf7203'}]",0,3413329621,220104,0,[],20,番禺区,[],魔音乐队,[],B0FFKH5JAK,[],[],[],0,[],2022-05-27 18:24:27,[],迎宾路长隆欢乐世界内,440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",4,[],长隆欢乐世界-魔音乐队,"113.330368,22.999148",[],[],0,113.330368,22.999148,113.32494198794258,23.00178436659717,220104,事件活动,公众活动,文艺演出
B00140H7SM,[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;文艺演出,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/40fdd02dc6784539a14f9f347d37cb9b'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/77516acbcaae4fea8673387c4d4733d3'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/a87ef8ecd668497d86efb0f36579bc7f'}]",0,3413329620,220104,0,[],20,番禺区,[],惊爆危机岛2,[],B0FFKH6771,[],[],[],0,[],2022-05-30 09:41:00,[],长隆欢乐世界内,440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",4,[],长隆欢乐世界-惊爆危机岛2,"113.327295,22.998015",[],[],0,113.327295,22.998015,113.32187537921098,23.0006577222822,220104,事件活动,公众活动,文艺演出
B00140H7SM,[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;文艺演出,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7777f6d2877043309756eab19ea5f178'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6c2ff95809774a8aa7625c2bf4d7cc92'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/0ac484ba9a554f29b0535a3a45029c3f'}]",0,3413329621,220104,0,[],20,番禺区,[],[],[],B0FFKH5JAN,[],[],[],0,[],2022-06-01 11:11:47,[],[],440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",301,[],欢乐大派对,"113.330969,22.999431",[],[],0,113.330969,22.999431,113.32554173664164,23.00206609827832,220104,事件活动,公众活动,文艺演出
B00140H7SM,[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;文艺演出,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/0521243b36244e6a9a9d643e83fbc28b'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/2debd10d6db841e09535b9b336405175'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/4b53e113e5134b2baa6416cdac7cdbc7'}]",0,3413420601,220104,0,[],20,番禺区,[],长隆欢乐世界-幻影魔力表演,[],B0FFKH5JAM,[],[],[],0,[],2022-03-30 07:06:26,[],长隆欢乐世界内,440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",301,[],幻影魔力表演,"113.330625,23.000175",[],[],0,113.330625,23.000175,113.325198391455,23.002810432615533,220104,事件活动,公众活动,文艺演出
[],[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;事件活动;事件活动,[],0,3413328102,220000,0,[],20,番禺区,[],[],[],B0FFK8ARWH,[],[],[],0,[],2022-05-27 09:43:09,[],石浦大道南与汉溪大道西和平路东南120米,440113,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],广州北站春节临时停车区(石浦大道南),"113.273616,22.983628",[],[],0,113.273616,22.983628,113.26828840364298,22.98635972791044,220000,事件活动,事件活动,事件活动
[],[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;展会展览,[],0,3413522720,220102,0,[],20,海珠区,[],[],4006228228,B0FFGYZGNQ,[],[],[],0,[],2022-05-30 18:46:36,[],磨碟沙大街118号珠江琶醍啤酒文化行销艺术区A区附近,440105,广东省,[],广州市,[],0,新港东,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],珠江琶醍啤酒文化创意视觉艺术区多功能厅,"113.341327,23.107677",[],[],0,113.341327,23.107677,113.3358715215232,23.110246528352214,220102,事件活动,公众活动,展会展览
[],[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;体育赛事,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/cbeae5ab6871ee2918c07bf51d94143e'}]",0,3413621121,220103,0,[],20,白云区,[],[],[],B0FFHFXR9R,[],[],[],0,[],2022-05-30 09:13:04,[],齐心路与云城西路辅路交叉处西200米,440111,广东省,[],广州市,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],泊神方程式赛车会,"113.267504,23.182905",[],[],0,113.267504,23.182905,113.26216853517997,23.185558924842532,220103,事件活动,公众活动,体育赛事
[],[],440000,[],"{'cost': [], 'rating': '3.9'}",0,事件活动;公众活动;展会展览,[],0,3413521920,220102,0,[],20,海珠区,[],[],18275999910,B0FFI86U4Z,[],[],[],0,[],2022-05-28 13:53:08,[],广交会展馆B区12.2号馆,440105,广东省,[],广州市,[],0,琶洲村,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],2017年中国(广东)民间工艺博览会,"113.363899,23.097911",[],[],0,113.363899,23.097911,113.35840461658964,23.100447130735606,220102,事件活动,公众活动,展会展览
[],[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;事件活动;事件活动,[],0,3413427322,220000,0,[],20,海珠区,[],[],18826484085,B0FFK6OUCE,[],[],[],0,[],2022-06-01 03:35:20,[],海珠客运站,440105,广东省,[],广州市,[],0,南洲,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],海珠客运站平安服务站,"113.298723,23.065035",[],[],0,113.298723,23.065035,113.29335469991705,23.067700200584,220000,事件活动,事件活动,事件活动
[],[],440000,[],"{'cost': [], 'rating': []}",0,事件活动;公众活动;大型会议,[],0,3513029710,220105,0,[],20,花都区,[],[],[],B0IACHNOSX,[],[],[],0,[],2022-04-17 13:39:28,[],花东镇大塘村山下岗31号,440114,广东省,[],广州市,[],0,花东,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],山崖岗保管,"113.339965,23.414001",[],[],0,113.339965,23.414001,113.33449124168624,23.41648154837965,220105,事件活动,公众活动,大型会议
